M.prcp
0.08
0.45
0.5
0.02
0.56
0.01
0.09
0.06
0.05
0.01
0.13
0.07
0.12
0.42
0.02
0.06
0.32
0.42
0.01
0.08
0.22
0.14
0.07
0.15
0.1
0.34
0.05
0.06
0.02
0.04
0.01
0.06
0.05
0.25
0.02
0.12
0.3
0.06
0.02
0.23
0.3
0.13
0.14
0.01
0.09
0.4
0.01
0.06
0.02
0.12
0.3
0.03
0.12
0.05
0.11
0.3
0.05
0.58
1.19
0.61
0.84
0.06
0.07
0.2
0.8
0.03
0.07
0.12
0.2
4.0
0.03
0.1
0.03
0.12
0.33
0.06
0.7
0.09
0.05
0.27
0.05
0.03
0.05
2.4
0.03
0.12
0.16
0.21
0.39
0.02
0.07
0.12
0.1
0.5
0.03
0.01
0.05
0.1
0.02
0.05
0.2
0.68
0.07
0.33
0.3
0.11
0.32
0.68
0.01
0.02
0.28
0.05
0.01
0.02
0.02
0.02
0.09
0.11
0.02
0.06
0.02
0.02
0.18
0.3
0.02
0.04
0.03
0.08
0.04
0.13
0.02
0.15
0.4
0.02
0.05
0.15
0.5
0.02
0.06
0.08
0.1
0.08
0.04
0.12
0.07
0.01
0.2
0.03
0.04
0.01
0.02
0.01
0.1
0.02
0.06
0.02
0.08
0.02
0.5
0.06
0.36
0.22
0.05
0.12
0.5
0.1
0.06
0.28
0.02
0.19
0.3
0.02
0.05
0.17
0.31
0.05
0.19
0.01
0.08
0.4
0.05
0.25
0.18
0.24
0.7
0.35
0.02
0.07
0.1
0.02
0.02
0.06
0.1
0.17
0.3
0.55
1.69
0.27
0.21
0.06
0.22
0.81
0.36
0.1
0.03
0.24
0.65
0.02
0.19
0.35
0.14
0.24
0.81
0.08
0.24
0.14
0.25
0.74
0.7
0.04
0.21
0.53
0.13
0.62
0.02
0.02
0.02
0.01
0.01
0.02
0.05
0.01
0.15
0.05
0.13
0.82
0.02
0.2
0.16
0.15
0.08
0.1
0.15
0.09
0.03
0.01
0.02
0.1
0.25
0.26
0.2
0.04
0.11
1.12
0.02
0.4
0.02
0.29
0.02
0.08
0.01
0.5
0.02
0.15
0.37
0.07
0.55
0.2
0.88
0.13
0.58
0.1
0.61
0.3
2.17
0.08
0.02
0.11
0.06
0.44
0.06
0.3
0.01
0.01
0.02
0.02
0.01
0.01
0.01
0.09
0.16
0.46
0.13
0.02
0.07
0.06
0.01
0.03
0.05
0.03
0.3
0.05
0.08
0.06
0.09
0.6
0.05
0.17
1.0
0.02
0.12
0.1
0.04
0.02
0.1
0.01
0.03
0.12
0.44
0.05
0.06
0.2
0.55
1.62
0.52
0.68
1.58
0.23
0.22
0.95
0.73
1.11
0.07
0.02
0.03
0.06
0.28
0.1
0.08
0.01
0.01
0.01
0.03
0.01
0.01
0.26
0.07
0.03
0.07
0.13
0.25
0.89
1.21
1.17
1.31
1.04
0.8
0.12
0.35
0.95
6.25
0.37
2.6
0.09
0.76
0.79
0.1
0.02
0.19
0.11
0.14
0.01
0.02
0.22
0.01
0.05
0.03
0.02
0.06
0.35
0.32
1.01
0.7
1.58
1.35
0.23
1.16
1.05
2.36
1.74
1.84
0.05
0.33
0.35
0.05
0.02
0.02
0.02
0.14
0.08
0.12
0.15
2.03
0.98
0.02
0.41
0.3
1.04
1.3
0.49
0.47
0.11
0.01
0.45
0.38
0.9
0.26
0.69
0.29
0.36
2.3
2.82
0.27
0.59
0.23
0.03
0.29
0.11
0.65
0.03
0.16
0.03
0.25
0.01
0.01
0.06
0.04
0.07
0.1
0.45
0.04
0.09
0.02
0.08
0.09
0.26
0.23
0.21
0.2
0.01
0.08
0.03
0.04
0.03
0.08
0.01
0.07
0.03
0.68
0.01
0.13
0.43
0.93
0.48
0.02
0.6
0.15
0.07
0.12
0.17
0.02
0.03
0.09
0.02
0.19
0.06
0.35
0.12
0.06
0.06
0.03
0.01
0.13
0.13
0.03
0.8
0.5
0.65
0.01
0.51
0.03
0.35
0.1
0.41
0.35
0.47
0.54
0.14
0.25
0.27
0.56
0.73
1.45
0.44
1.48
1.88
0.58
1.19
2.2
1.12
2.4
0.59
2.12
2.0
0.16
0.04
0.04
0.58
0.03
0.12
0.01
0.06
0.06
0.11
0.17
0.13
0.06
0.32
0.06
0.07
0.09
0.1
0.01
0.8
0.06
0.06
0.13
0.07
0.62
0.67
0.73
0.13
0.01
0.07
0.01
0.01
2.9
0.01
2.62
1.07
1.91
0.07
2.98
1.83
0.31
1.0
2.39
5.04
1.73
0.73
0.02
1.08
0.51
1.08
0.9
1.8
1.32
1.79
0.16
0.04
0.18
0.05
0.18
0.26
0.55
0.14
0.03
0.03
0.01
0.1
0.03
0.12
0.79
2.64
0.04
0.15
0.08
0.13
1.85
0.08
0.01
0.85
0.16
0.01
0.04
0.09
0.72
0.04
0.02
0.11
0.03
0.08
0.02
0.07
0.01
0.01
0.03
0.03
0.06
0.59
0.01
0.1
0.1
0.42
0.06
0.47
0.18
0.01
0.01
0.29
0.03
0.03
0.01
0.62
0.36
0.25
0.9
0.12
0.21
0.29
0.07
0.29
2.37
0.04
0.18
0.56
0.05
0.52
1.03
0.02
0.09
0.01
0.06
0.09
0.14
0.03
0.02
0.05
0.14
0.02
0.26
0.06
0.22
1.48
0.03
0.02
0.38
0.01
0.14
0.13
0.06
0.2
1.08
0.01
0.1
0.03
0.02
0.24
0.83
0.01
0.17
0.05
0.14
0.86
1.24
0.03
0.09
0.06
0.06
0.11
0.55
0.02
0.01
0.01
0.21
0.02
0.03
0.15
0.13
0.29
0.04
0.27
0.16
0.01
0.11
0.16
0.07
0.01
0.03
0.02
0.07
0.14
0.03
0.03
0.05
0.12
0.05
0.92
0.33
0.05
0.1
0.34
0.15
0.04
0.09
0.01
0.01
0.02
0.01
0.04
0.02
0.06
0.13
0.05
0.02
0.02
0.04
0.52
0.34
0.26
0.31
0.42
0.03
0.03
0.02
0.27
0.01
0.07
0.03
0.17
0.07
0.12
0.02
0.02
0.02
0.43
